PageID	Название RU	Тип	URL ES	URL RU	URL EN	Сегменты	Приоритет	Writer	Примечание
P01	Корень — выбор языка / редирект	служебная	/	—	—	все	MVP	W1	Redirect по Accept-Language; x-default=ES; не контент-страница
P02	Главная ES — витрина LOCAL	главная	/es/	—	—	LOCAL, PROVIDER втор.	MVP	W1	Hero «процесс→автоматизация→результат»; ядро A первым; SEO-вход
P03	Главная RU — витрина RELO+PROVIDER	главная	—	/ru/	—	RELO, PROVIDER	MVP	W1	НЕ зеркало ES; PROVIDER-дверь поднята; CTA Telegram
P04	Главная EN — витрина ЕС-экспансии	главная	—	—	/en/	EN-EU	Ф2+	W1	dedicated team / augmentation / white label
P05	Сегмент-лендинг «местный бизнес»	сегмент	/es/negocios/	—	—	LOCAL	MVP	W1	Ниша «после Kit Digital»; гранты = «проверим», не гарантия
P06	Сегмент-лендинг «релоканты»	сегмент	—	/ru/biznes-v-ispanii/	—	RELO	MVP	W1	«Под ключ на русском, быстро»; Telegram-канал
P07	Сегмент-лендинг «для поставщиков» (PROVIDER)	сегмент	/es/para-proveedores/	/ru/dlya-postavshchikov/	—	PROVIDER	MVP	W1	Приоритет GTM; север; бот-ресепшн/лид-бот/CRM; в RU-шапке пункт 1-го уровня
P08	Хаб услуг — каталог 12 пилларов	хаб	/es/servicios/	/ru/uslugi/	/en/services/	все	MVP	W1	Порядок: A0–A5 → C → D → E; EN-версия — Ф2+
P09	A0 Автоматизация процессов с ИИ (хаб ядра)	услуга-ядро	/es/servicios/automatizacion/	/ru/uslugi/avtomatizaciya/	/en/services/automation/	все	MVP	W1	Флагман v2; вбирает роль v1 soluciones-ia; блок отраслевых автоматизаций (каталог 63); слаг входит и в гео-набор
P10	A1 ИИ-ассистенты и агенты	услуга-ядро	/es/servicios/asistentes-ia/	/ru/uslugi/ii-assistenty/	/en/services/ai-assistants/	LOCAL, RELO, EN-EU	MVP	W1	Новый пиллар (выделен из v1 S5)
P11	A2 Боты: ресепшн / лиды / поддержка	услуга-ядро	/es/servicios/chatbot-ia/	/ru/uslugi/chat-bot/	/en/services/chatbots/	PROVIDER, LOCAL, RELO	MVP	W1	Ядро «бот-ресепшн», флагман PROVIDER-GTM; слаг = и пиллар, и гео-набор; метка AI Act
P12	A3 Генерация документов и документооборот	услуга-ядро	/es/servicios/documentos-ia/	/ru/uslugi/dokumenty-ii/	/en/services/ai-documents/	LOCAL, RELO	MVP	W1	Сметы/счета/письма/КП; северный оффер для стройки и гесторий; в гео-наборе отсутствует (SPEC-ISSUE-2)
P13	A4 Интеграции и RPA	услуга-ядро	/es/servicios/integraciones-rpa/	/ru/uslugi/integracii-rpa/	/en/services/integrations-rpa/	LOCAL, EN-EU	MVP	W1	ETL, внешние API, внутренние инструменты
P14	A5 CRM / ERP / BPM — внедрение и автоматизация	услуга-ядро	/es/servicios/software-gestion/	/ru/uslugi/biznes-soft/	/en/services/business-software/	все	MVP	W1	Рефрейм v1 S4 под автоматизацию продаж/сервиса/учёта; гео-слаг crm ведёт сюда
P15	C1 Создание сайтов — интерфейс автоматизации	услуга-канал	/es/servicios/diseno-web/	/ru/uslugi/sozdanie-saytov/	/en/services/web-development/	LOCAL, RELO	Ф1	W2	Типы внутри страницы: лендинг/корп/e-comm/PWA/кабинеты; НЕ главный заголовок сайта
P16	C2 Мобильные приложения (PWA/кроссплатформа)	услуга-канал	/es/servicios/apps-moviles/	/ru/uslugi/mobilnye-prilozheniya/	/en/services/mobile-apps/	LOCAL, EN-EU	Ф1	W2	Нативную iOS/Android НЕ рекламировать — подтвердить у команды
P17	D1 Ведение контента + ИИ-контент-фабрика	услуга-контент	/es/servicios/gestion-contenido/	/ru/uslugi/vedenie-kontenta/	/en/services/content-management/	LOCAL, RELO	Ф1	W2	Контент-фабрика — ОДИН из процессов (kit content-factory), не отрасль-плитка
P18	D2 Данные и аналитика	услуга-контент	/es/servicios/datos-analitica/	/ru/uslugi/dannye-i-analitika/	/en/services/data-analytics/	LOCAL, EN-EU	Ф1	W2	Дашборды, БД, миграции, парсинг
P19	E1 UX/UI-дизайн	услуга-дизайн	/es/servicios/diseno-ux-ui/	/ru/uslugi/dizayn-ux-ui/	/en/services/ux-ui-design/	LOCAL, EN-EU	Ф2+	W2	Усилитель
P20	E2 3D / WebGL / интерактив	услуга-дизайн	/es/servicios/3d-webgl/	/ru/uslugi/3d-webgl/	/en/services/3d-webgl/	LOCAL, EN-EU	Ф2+	W2	Конфигураторы; усилитель; слаг един для трёх языков
